adcode,name,longitude,latitude,pinyin_prefix
350423,清流县,,q
350403,三元区,,s
350427,沙县,,s
350429,泰宁县,,t
350481,永安市,,y
350426,尤溪县,,y
350200,厦门市,,x
350205,海沧区,,h
350206,湖里区,,h
350211,集美区,,j
350203,思明区,,s
350212,同安区,,t
350213,翔安区,,x
350600,漳州市,,z
350626,东山县,,d
350629,华安县,,h
350681,龙海市,,l
350603,龙文区,,l
350627,南靖县,,n
350628,平和县,,p
350602,芗城区,,x
350622,云霄县,,y
350623,漳浦县,,z
350625,长泰县,,c
350624,诏安县,,z
620000,甘肃省,,g
620400,白银市,,b
620402,白银区,,b
620422,会宁县,,h
620423,景泰县,,j
620421,靖远县,,j
620403,平川区,,p
621100,定西市,,d
621102,安定区,,a
621124,临洮县,,l
621122,陇西县,,l
621126,岷县,,m
621121,通渭县,,t
621123,渭源县,,w
621125,漳县,,z
623000,甘南藏族自治州,,g
623024,迭部县,,d
623001,合作市,,h
623021,临潭县,,l
623026,碌曲县,,l
623025,玛曲县,,m
623027,夏河县,,x
623023,舟曲县,,z
623022,卓尼县,,z
620200,嘉峪关市,,j
620300,金昌市,,j
620302,金川区,,j
620321,永昌县,,y
620900,酒泉市,,j
620924,阿克塞哈萨克族自治县,,a
620982,敦煌市,,d
620922,瓜州县,,g
620921,金塔县,,j
620923,肃北蒙古族自治县,,s
620902,肃州区,,s
620981,玉门市,,y
620100,兰州市,,l
620105,安宁区,,a
620102,城关区,,c
620122,皋兰县,,g
620111,红古区,,h
620103,七里河区,,q
620104,西固区,,x
620121,永登县,,y
620123,榆中县,,y
622900,临夏回族自治州,,l
622926,东乡族自治县,,d
622924,广河县,,g
622925,和政县,,h
622927,积石山保安族东乡族撒拉族自治县,,j
622922,康乐县,,k
622901,临夏市,,l
622921,临夏县,,l
622923,永靖县,,y
621200,陇南市,,l
621221,成县,,c
621223,宕昌县,,t
621227,徽县,,h
621224,康县,,k
621226,礼县,,l
621228,两当县,,l
621222,文县,,w
621202,武都区,,w
621225,西和县,,x
620800,平凉市,,p
620823,崇信县,,c
620881,华亭市,,h
620821,泾川县,,j
620826,静宁县,,j
620802,崆峒区,,k
620822,灵台县,,l
620825,庄浪县,,z
621000,庆阳市,,q
621024,合水县,,h
621023,华池县,,h
621022,环县,,h
621026,宁县,,n
621021,庆城县,,q
621002,西峰区,,x
621027,镇原县,,z
621025,正宁县,,z
620500,天水市,,t
620523,甘谷县,,g
620503,麦积区,,m
620522,秦安县,,q
620502,秦州区,,q
620521,清水县,,q
620524,武山县,,w
620525,张家川回族自治县,,z
620600,武威市,,w
620622,古浪县,,g
620602,凉州区,,l
620621,民勤县,,m
620623,天祝藏族自治县,,t
620700,张掖市,,z
620702,甘州区,,g
620724,高台县,,g
620723,临泽县,,l
620722,民乐县,,m
620725,山丹县,,s
620721,肃南裕固族自治县,,s
440000,广东省,,g
445100,潮州市,,c
445103,潮安区,,c
445122,饶平县,,r
445102,湘桥区,,x
441900,东莞市,,d
440600,佛山市,,f
440604,禅城区,,c
440608,高明区,,g
440605,南海区,,n
440607,三水区,,s
440606,顺德区,,s
440100,广州市,,g
440111,白云区,,b
440117,从化区,,c
440113,番禺区,,p
440105,海珠区,,h
440114,花都区,,h
440112,黄埔区,,h
440103,荔湾区,,l
440115,南沙区,,n
440106,天河区,,t
440104,越秀区,,y
440118,增城区,,z
441600,河源市,,h
441625,东源县,,d
441624,和平县,,h
441623,连平县,,l
441622,龙川县,,l
441602,源城区,,y
441621,紫金县,,z
441300,惠州市,,h
441322,博罗县,,b
441302,惠城区,,h
441323,惠东县,,h
441303,惠阳区,,h
441324,龙门县,,l
440700,江门市,,j
440785,恩平市,,e
440784,鹤山市,,h
440704,江海区,,j
440783,开平市,,k
440703,蓬江区,,p
440781,台山市,,t
440705,新会区,,x
445200,揭阳市,,j
445224,惠来县,,h
445203,揭东区,,j
445222,揭西县,,j
445281,普宁市,,p
445202,榕城区,,r
440900,茂名市,,m
440904,电白区,,d
440981,高州市,,g
440982,化州市,,h
440902,茂南区,,m
440983,信宜市,,x
441400,梅州市,,m
441422,大埔县,,d
441423,丰顺县,,f
441427,蕉岭县,,j
441402,梅江区,,m
441403,梅县区,,m
441426,平远县,,p
441424,五华县,,w
441481,兴宁市,,x
441800,清远市,,q
441821,佛冈县,,f
441826,连南瑶族自治县,,l
441825,连山壮族瑶族自治县,,l
441882,连州市,,l
441802,清城区,,q
441803,清新区,,q
441823,阳山县,,y
441881,英德市,,y
440500,汕头市,,s
440514,潮南区,,c
440513,潮阳区,,c
440515,澄海区,,c
440512,濠江区,,h
440511,金平区,,j
440507,龙湖区,,l
440523,南澳县,,n
441500,汕尾市,,s
441502,城区,,c
441521,海丰县,,h
441581,陆丰市,,l
441523,陆河县,,l
440200,韶关市,,s
440281,乐昌市,,l
440282,南雄市,,n
440205,曲江区,,q
440224,仁化县,,r
440232,乳源瑶族自治县,,r
440222,始兴县,,s
440229,翁源县,,w
440203,武江区,,w
440233,新丰县,,x
440204,浈江区,,z
440300,深圳市,,s
440306,宝安区,,b
440304,福田区,,f
440311,光明区,,g
440307,龙岗区,,l
440309,龙华区,,l
440303,罗湖区,,l
440305,南山区,,n
440310,坪山区,,p
440308,盐田区,,y
441700,阳江市,,y
441702,江城区,,j
441781,阳春市,,y
441704,阳东区,,y
441721,阳西县,,y
445300,云浮市,,y
445381,罗定市,,l
445321,新兴县,,x
445322,郁南县,,y
445303,云安区,,y
445302,云城区,,y
440800,湛江市,,z
440802,赤坎区,,c
440882,雷州市,,l
440881,廉江市,,l
440811,麻章区,,m
440804,坡头区,,p
440823,遂溪县,,s
440883,吴川市,,w
440803,霞山区,,x
440825,徐闻县,,x
441200,肇庆市,,z
441226,德庆县,,d
441203,鼎湖区,,d
441202,端州区,,d
441225,封开县,,f
441204,高要区,,g
441223,广宁县,,g
441224,怀集县,,h
441284,四会市,,s
442000,中山市,,z
440400,珠海市,,z
440403,斗门区,,d
440404,金湾区,,j
440402,香洲区,,x
450000,广西壮族自治区,,g
451000,百色市,,b
451024,德保县,,d
451081,靖西市,,j
451028,乐业县,,l
451027,凌云县,,l
451031,隆林各族自治县,,l
451026,那坡县,,n
451082,平果市,,p
451022,田东县,,t
451029,田林县,,t
451003,田阳区,,t
451030,西林县,,x
451002,右江区,,y
450500,北海市,,b
450502,海城区,,h
450521,合浦县,,h
450512,铁山港区,,t
450503,银海区,,y
451400,崇左市,,c
451424,大新县,,d
451421,扶绥县,,f
451402,江州区,,j
451423,龙州县,,l
451422,宁明县,,n
451481,凭祥市,,p
451425,天等县,,t
450600,防城港市,,f
450681,东兴市,,d
450603,防城区,,f
450602,港口区,,g
450621,上思县,,s
450800,贵港市,,g
450802,港北区,,g
450803,港南区,,g
450881,桂平市,,g
450821,平南县,,p
450804,覃塘区,,q
450300,桂林市,,g
450303,叠彩区,,d
450332,恭城瑶族自治县,,g
450327,灌阳县,,g
450381,荔浦市,,l
450312,临桂区,,l
450323,灵川县,,l
450328,龙胜各族自治县,,l
450330,平乐县,,p
450305,七星区,,q
450324,全州县,,q
450304,象山区,,x
450325,兴安县,,x
450302,秀峰区,,x
450311,雁山区,,y
450321,阳朔县,,y
450326,永福县,,y
450329,资源县,,z
451200,河池市,,h
451227,巴马瑶族自治县,,b
451229,大化瑶族自治县,,d
451224,东兰县,,d
451228,都安瑶族自治县,,d
451223,凤山县,,f
451226,环江毛南族自治县,,h
451202,金城江区,,j
451225,罗城仫佬族自治县,,l
451221,南丹县,,n
451222,天峨县,,t
451203,宜州区,,y
451100,贺州市,,h
451102,八步区,,b
451123,富川瑶族自治县,,f
451103,平桂区,,p
451121,昭平县,,z
451122,钟山县,,z
451300,来宾市,,l
451381,合山市,,h
451324,金秀瑶族自治县,,j
451323,武宣县,,w
451322,象州县,,x
451321,忻城县,,x
451302,兴宾区,,x
450200,柳州市,,l
450202,城中区,,c
450205,柳北区,,l
450222,柳城县,,l
450206,柳江区,,l
450204,柳南区,,l
450223,鹿寨县,,l
450224,融安县,,r
450225,融水苗族自治县,,r
450226,三江侗族自治县,,s
450203,鱼峰区,,y
450100,南宁市,,n
450126,宾阳县,,b
450127,横县,,h
450105,江南区,,j
450108,良庆区,,l
450123,隆安县,,l
450124,马山县,,m
450103,青秀区,,q
450125,上林县,,s
450110,武鸣区,,w
450107,西乡塘区,,x
450102,兴宁区,,x
450109,邕宁区,,y
450700,钦州市,,q
450721,灵山县,,l
450722,浦北县,,p
450703,钦北区,,q
450702,钦南区,,q
450400,梧州市,,w
450421,苍梧县,,c
450481,岑溪市,,c
450406,龙圩区,,l
450423,蒙山县,,m
450422,藤县,,t
450403,万秀区,,w
450405,长洲区,,c
450900,玉林市,,y
450981,北流市,,b
450923,博白县,,b
450903,福绵区,,f
450922,陆川县,,l
450921,容县,,r
450924,兴业县,,x
450902,玉州区,,y
520000,贵州省,,g
520400,安顺市,,a
520424,关岭布依族苗族自治县,,g
520403,平坝区,,p
520422,普定县,,p
520402,西秀区,,x
520423,镇宁布依族苗族自治县,,z
520425,紫云苗族布依族自治县,,z
520500,毕节市,,b
520521,大方县,,d
520527,赫章县,,h
520523,金沙县,,j
520525,纳雍县,,n
520502,七星关区,,q
520522,黔西县,,q
520526,威宁彝族回族苗族自治县,,w
520524,织金县,,z
520100,贵阳市,,g
520113,白云区,,b
520115,观山湖区,,g
520111,花溪区,,h
520121,开阳县,,k
520102,南明区,,n
520181,清镇市,,q
520112,乌当区,,w
520122,息烽县,,x
520123,修文县,,x
520103,云岩区,,y
520200,六盘水市,,l
